798|"48.130842000246048, 17.099259998649359"|IP7||||||R19|
799|"48.130639996379614, 17.099244995042682"|C16|||||SPOAĽ|R19|
800|"48.126607965677977, 17.099428977817297"|C16|||||SPOAĽ|R19|
801|"48.12650403007865, 17.09945403970778"|||||||R19|
802|"48.126434041187167, 17.099441969767213"|C13|C16|B3|||SPOAĽ|R19|
803|"48.125757034868002, 17.099353037774563"|||||||R19|
804|"48.125436007976532, 17.099324958398938"|C13|C16|B3|||SPOAĽ|R19|
805|"48.125316984951496, 17.099334010854363"|C13|C16||||SPOAĽ|R19|
806|"48.122795959934592, 17.09906998090446"|C13|C16||||ZOSADNI Z BICYKLA|R19|
807|"48.122153989970684, 17.098776027560234"|C12||||||R19|
808|"48.121253019198775, 17.098056022077799"|C12||||||R19|
809|"48.121172972023487, 17.0980179682374"|C8||||||R19|
810|"48.118910025805235, 17.09608200006187"|C8|C12|||||R19|
811|"48.118284987285733, 17.095743035897613"|||||||R19|
812|"48.118162024766207, 17.095670029520988"|C8|C12|||||R19|
813|"48.117771008983254, 17.095431983470917"|IP7||||||R19|
814|"48.117487030103803, 17.095278007909656"|IP7||||||R19|
815|"48.116844976320863, 17.094936026260257"|IP7||||||R19|
816|"48.116358993574977, 17.094659004360437"|||||||R19|
817|"48.116013994440436, 17.094479966908693"|||||||R19|
818|"48.114988971501589, 17.093832967802882"|||||||R19|
819|"48.114410536363721, 17.093193596228957"|||||||R19|
821|"48.113991022109985, 17.09281800314784"|C16|||||ZOSADNI Z BICYKLA|R19|
822|"48.11372397467494, 17.092565037310123"|C16|||||ZOSADNI Z BICYKLA|R19|
823|"48.113100025802851, 17.092047035694122"|||||||R19|
824|"48.112833984196186, 17.091798009350896"|||||||R19|
825|"48.112500971183181, 17.091541020199656"|C8|C13|||||R19|
826|"48.112329980358481, 17.091299034655094"|IP7||||||R19|
827|"48.11223903670907, 17.09124899469316"|C13X|IP7|||||R19|
828|"48.111738972365856, 17.090924028307199"|||||||R19|
829|"48.111454742029309, 17.090695286169648"|||||||R19|
830|"48.109804010018706, 17.089318977668881"|||||||R19|
831|"48.109659003093839, 17.089197020977736"|C13||||||R19|
832|"48.109233034774661, 17.088851016014814"|||||||R19|
833|"48.108960036188364, 17.088638031855226"|C8|C13|||||R19|
834|"48.108768006786704, 17.088504005223513"|||||||R19|
835|"48.108757026493549, 17.088501993566751"|C8X||||||R19|
836|"48.108851993456483, 17.08856200799346"|C8||||||R19|
837|"48.10875803232193, 17.088626967743039"|C24B|IP7|||||R19|
838|"48.108371961861849, 17.088331002742052"|C24A||||||R19|
839|"48.110884018242359, 17.101456979289651"|C12||||||O5|
840|"48.110592998564243, 17.10506496950984"|||||||O5|
841|"48.1105952616781, 17.105169408023357"|||||||O5|
843|"48.11049903742969, 17.110597025603056"|||||||5006|
844|"48.110555028542876, 17.11050096899271"|B3|C16||||ZOSADNI Z BICYKLA|5006|
845|"48.118075020611286, 17.107475018128753"|||||||5006|
846|"48.123399037867785, 17.112461999058723"|B3|C16||||ZOSADNI Z BICYKLA|5006|
847|"48.123341035097837, 17.113156020641327"|B3|C12|C16|||ZOSADNI Z BICYKLA|5006|
848|"48.127484964206815, 17.118896031752229"|B3||||||5006|
849|"48.127685962244868, 17.119114967063069"|||||||S385|
851|"48.132184026762843, 17.116655968129635"|||||||5006|
852|"48.133361013606191, 17.116929972544312"|||||||001|5006
855|"48.142092023044825, 17.13179100304842"|C8|C16||||ZOSADNI Z BICYKLA|R27|
856|"48.141792034730315, 17.141374032944441"|C8|C13|IS40C||||R27|
857|"48.141707964241505, 17.142292018979788"|C12|C13|||||R27|
858|"48.140646982938051, 17.144281966611743"|C8|C13|IP7||||R27|
859|"48.140582023188472, 17.144686980172992"|C8|IP7|||||R27|
860|"48.139510983601213, 17.146964007988572"|C8|C8|||||001|R27
861|"48.140787966549397, 17.15248198248446"|C12|C16||||ZÍĎ Z BICYKLA|2001|
862|"48.143768990412354, 17.151953000575304"|C12|C16||||ZÍĎ Z BICYKLA|2001|
863|"48.15770298242569, 17.1687469817698"|||||||R16|
864|"48.15684299916029, 17.149354023858905"|||||||S461|
865|"48.156729005277157, 17.149270959198475"|C8||||||S461|
866|"48.157978998497128, 17.1492990385741"|C8||||||S461|
867|"48.161542983725667, 17.16548097319901"|C12||||||Ostredky|
868|"48.164822990074754, 17.164802039042115"|C12||||||Ostredky|
869|"48.157988972961903, 17.165921023115516"|C12||||||R16|Ostredky
870|"48.161992002278566, 17.171518038958311"|C12||||||Ostredky|
871|"48.161265961825848, 17.171759018674493"|C12|C12X|||||Ostredky|
872|"48.160815015435219, 17.165623968467116"|C12||||||Ostredky|
873|"48.160957004874945, 17.167956987395883"|C12||||||S563|
874|"48.158170022070408, 17.168452022597194"|C12||||||S563|R16
876|"48.140078019350767, 17.152688009664416"|||||||2001|
877|"48.140093022957444, 17.151417983695865"|C8|C12|||||001|
878|"48.139533028006554, 17.147185038775206"|C8||||||001|
879|"48.131011985242367, 17.13518600910902"|C8||||||001|
880|"48.131937012076378, 17.13400399312377"|B3||||||001|
881|N48° 08.137' E17° 07.215'|B3||||||001|
882|"48.135284995660186, 17.115031974390149"|||||||001|
884|"48.135289018973708, 17.114996016025543"|C24A|E16B|IS40E||||001|
885|"48.135235039517283, 17.114427974447608"|C24B||||||001|
886|"48.136601960286498, 17.104486031457782"|C24A||||||001|
887|"48.136143973097205, 17.101815976202488"|C24A|B3|E16C||||001|
889|"48.128457013517618, 17.073815977200866"|||||||001|
890|"48.123388979583979, 17.069449005648494"|C8|C8|C8|B3|B3||001|
891|"48.122460013255477, 17.063370030373335"|||||||001|
896|"48.134630033746362, 17.105056000873446"|C12|C12X|||||O3|
897|"48.132599014788866, 17.106358967721462"|||||||O3|
898|"48.132713008671999, 17.106230976060033"|C13|C13X|C12||||O3|
899|"48.132138010114431, 17.103490009903908"|||||||S391|
900|"48.1319859623909, 17.106379000470042"|C12||||||S391|
901|"48.132659029215574, 17.106290990486741"|C13|C13X|||||O3|
902|"48.131979005411267, 17.107262033969164"|C13|C13|C12|C12X|||O3|
903|"48.131909016519785, 17.108338018879294"|||||||O3|
904|"48.131829975172877, 17.111116033047438"|C13||||||O3|
907|"48.131993003189564, 17.116582039743662"|C8X|C13|C16|||ZOSADNI Z BICYKLA|5006|
908|"48.132293997332454, 17.116374000906944"|IP7||||||5006|
909|"48.132278993725777, 17.115730019286275"|C8||||||5006|
910|"48.132574036717415, 17.115708980709314"|C8||||||5006|
911|"48.132341019809246, 17.115752985700965"|IP7||||||5006|
912|"48.132931021973491, 17.115513011813164"|C8||||||5006|
913|"48.125953003764153, 17.096894038841128"|C13||||||Gercenova|
914|"48.126520039513707, 17.098072031512856"|C13||||||Gercenova|
